"Product ","Member Level ","Quantity ","Price ","Price Post Tax "
"Blackjack JNT 1g","Non-Member","1 ","$5.83","$5.83"
"Blackjack PP 1g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blackjack PP 3.5g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blackjack PP 7g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blood Orange JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blood Orange x Sapphire OG JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blue Cheese Cart Dist 1g","Non-Member","1 ","$8.33","$8.33"
"Blue City Diesel JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blue Cookies Cart CO2 1g","Non-Member","1 ","$16.67","$16.67"
"Blue Dream cart DIST 1g","Non-Member","1 ","$20.00","$20.00"
"Blue Magoo BLUNT 1g","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 0.5g 5pk","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 0.6g 2pk","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 8g","Non-Member","1 ","$20.83","$20.83"
"Blue Magoo PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
